Hour	Fe	CaO	SiO2	MgO	MnO	Al2O3	Tonnes
1000	33.65	6.37	4.73	3.8	2.65	1.04	312
1001	34.04	5.59	6.13	3.38	2.67	1.43	420
1002	36.1	3.8	5.36	3.52	2.75	0.97	226
1003	35.08	4.88	5.29	3.56	2.71	1.14	268
1004	35.11	3.93	6.75	3.41	2.66	1.35	351
1005	35.5	4.29	5.42	3.57	2.74	1.2	364
1006	34.94	4.52	5.92	3.6	2.67	1.19	313
1007	32.45	8.24	3.19	4.12	2.52	1.14	92
1008	32.8	8.56	3.12	3.93	2.45	0.89	312
1009	30.78	9.14	5.69	3.62	2.34	1.46	374
1010	29.86	11.37	3.52	4.12	2.29	1.02	296
1011	31.61	9.08	4.31	3.98	2.41	1.01	368
1012	34.13	5.44	5.72	3.6	2.58	1.21	468
1013	35.22	4.65	5.45	3.5	2.74	0.99	361
1014	35	4.88	5.26	3.56	2.78	1.19	232
1015	34.98	5.13	5.13	3.49	2.71	1.19	204
1016	34.1	4.63	7.09	3.43	2.62	1.42	344
1017	35.41	4.3	5.98	3.32	2.72	1.13	343
1018	35.09	5.34	4.3	3.62	2.66	0.86	164
1019	35.75	4.23	5.24	3.42	2.69	0.91	351
1020	34.13	7.08	2.55	4.19	2.87	0.96	278
1021	34.22	6.79	3.06	3.98	2.81	1.1	282
1022	33.05	7.78	3.03	4.21	2.76	1.08	274
1023	31.92	8.72	3.1	4.45	2.67	1.09	243
1024	32.63	7.72	3.38	4.3	2.72	1.18	263
1025	32.02	8.43	3.46	4.43	2.60	0.87	33
1026	27.87	11.4	4.9	4.73	2.23	1.36	34
1027	32.96	7.97	3.46	3.98	2.63	1.11	134
1028	33.01	8.33	2.68	4.2	2.66	0.94	232
1029	33.47	7.93	2.67	4.15	2.65	0.86	214
1030	32.37	9.04	2.48	4.49	2.56	0.77	234
1031	32.04	8.87	3.2	4.4	2.58	0.91	248
1032	32.65	8.16	3.05	4.51	2.62	0.93	209
1033	33.03	7.92	3.07	4.22	2.72	0.99	249
1034	33.08	7.61	3.07	4.26	2.76	1.15	267
1035	29.99	8.4	7.37	3.87	2.35	1.81	245
1036	30.68	6.7	9.61	3.38	2.39	1.71	237
1037	30.8	8.4	5.68	4.07	2.54	1.54	258
1038	31.65	7.13	6.79	3.69	2.53	1.65	225
1039	30.46	7.58	7.35	3.85	2.44	1.71	260
1040	34.05	6.71	2.88	4.27	2.78	0.93	216
1041	34.7	5.62	3.74	3.95	2.81	1.27	251
1042	33.68	6.8	3.16	4.34	2.74	1.06	250
1043	34.47	5.35	4.13	4.14	2.81	1.43	211
1044	34.65	5.8	3.34	3.98	2.81	1.2	255
1045	35.65	4.53	3.93	3.66	2.91	1.37	246
1046	35.47	5.24	3.32	3.84	2.94	1.27	230
1047	34.44	5.75	3.89	3.86	2.84	1.42	258
1048	34.68	5.99	3.38	4	2.81	1.17	233
1049	33.8	6.62	3.89	3.92	2.74	1.34	242
1050	32.76	7.83	3.64	4.24	2.63	1.07	217
1051	32.46	8.34	3.21	4.26	2.61	1.06	216
1052	32.4	8.07	3.51	4.32	2.60	1.1	263
1053	31.86	7.68	5.36	4.06	2.40	1.34	208
1054	32.44	6.18	7.04	3.58	2.50	1.65	248
1055	29.53	7.86	9.2	3.82	2.31	1.71	266
1056	30.58	7.26	8.47	3.62	2.35	1.59	212
1057	30.07	7.31	8.93	3.57	2.32	1.87	258
1058	31.57	7	7.39	3.76	2.47	1.56	256
1059	30.76	8.65	5.64	4.11	2.44	1.13	261
1060	32.4	7.34	5.03	3.92	2.56	1.22	261
1061	30.95	7.84	6.23	4.21	2.41	1.47	259
1062	33.69	6.72	4.32	4.01	2.62	1.06	269
1063	30.12	10.04	4.02	4.55	2.36	0.92	277
1064	30.64	7.85	6.95	3.96	2.40	1.6	244
1065	31.78	7.25	5.95	3.96	2.54	1.4	228
1066	29.92	7.76	8.72	3.79	2.36	1.51	230
1067	32.84	6.77	4.97	4.03	2.58	1.27	133
1068	29.53	9.08	6.6	3.96	2.36	1.79	221
1069	31.82	7.21	5.81	3.9	2.54	1.52	179
1070	31.43	7.63	6.12	3.8	2.48	1.57	273
1071	32.01	7.4	5.54	3.89	2.57	1.6	267
1072	32.45	6.88	5.38	3.89	2.60	1.48	238
1073	29.21	9.61	6.02	4.64	2.39	1.34	253
1074	29.01	11.04	3.82	5.14	2.38	0.88	264
1075	28.14	11.81	4.45	4.84	2.30	0.83	278
1076	29.21	10.84	3.99	4.84	2.36	0.88	285
1077	26.74	12.98	4.32	5.14	2.23	0.84	274
1078	27.62	11.72	4.94	4.8	2.26	1.06	265
1079	28.17	12.1	3.81	4.96	2.34	0.81	267
1080	27.89	12.26	4.32	4.8	2.29	0.74	214
1081	29.79	10.54	3.97	4.5	2.39	0.93	256
1082	29.76	10.2	4.56	4.58	2.36	1.12	270
1083	31.44	7.24	6.45	3.98	2.40	1.54	275
1084	31.36	8.75	4.42	4.4	2.36	1	265
1085	30.52	8.79	5.88	4.26	2.26	1.23	177
1086	30.34	10.58	3.04	4.63	2.25	0.6	266
1087	27.83	14.12	3.2	4.11	2.08	0.7	244
1088	31.54	8.01	4.9	4.26	2.44	1.27	244
1089	28.94	9.7	6.06	4.36	2.30	1.42	262
1090	31.93	7.8	4.56	4.3	2.48	1.23	278
1091	27.57	10.93	5.21	5.17	2.23	1.37	270
1092	28.05	11.01	4.26	5.18	2.31	1.1	283
1093	26.92	11.68	4.94	5.33	2.20	1.14	290
1094	27.08	12.43	3.7	5.39	2.20	0.97	260
1095	28.47	11.73	3.74	4.92	2.30	0.86	296
1096	28.4	10.78	5.88	4.52	2.31	1.2	237
1097	25.98	12.56	5.45	5.28	2.14	1.3	293
1098	28.4	11.63	3.52	5.14	2.30	0.91	312
1099	30.57	9.82	3.58	4.65	2.38	0.8	296
1100	31.32	8.52	4.58	4.33	2.41	0.98	285
1101	32.15	8.06	4.49	4.11	2.45	1.08	296
1102	31.54	8.54	4.5	4.22	2.40	1.05	290
1103	33.82	5.87	5.82	3.73	2.52	1.29	321
1104	32.97	6.89	4.98	3.92	2.43	1.3	284
1105	31.73	7.85	5.26	4.07	2.36	1.14	293
1106	30.39	9.34	4.83	4.35	2.29	1.13	281
1107	29.27	12.45	2.83	4.31	2.18	0.63	229
1108	30.29	11.35	3.11	4.14	2.21	0.64	289
1109	28.65	12.95	3.24	4.24	2.14	0.77	246
1110	29.61	11.39	3.34	4.52	2.16	0.62	300
1111	29.31	11.97	2.81	4.86	2.16	0.44	302
1112	29.76	12.18	2.31	4.55	2.20	0.42	281
1113	31.34	10.27	2.49	4.55	2.25	0.44	311
1114	31.88	9.89	2.22	4.7	2.29	0.37	316
1115	31.94	9.9	2.12	4.56	2.30	0.37	227
1116	31.63	10.07	2.2	4.65	2.26	0.33	244
1117	31.12	10.61	2.3	4.57	2.23	0.4	247
1118	32.37	9.65	1.94	4.57	2.29	0.27	239
1119	31.92	10	2	4.53	2.31	0.36	167
1120	31.89	8.74	3.83	4.39	2.45	0.88	490
1121	33.36	7.23	4.11	4.1	2.49	0.98	349
1122	32.7	7.9	4.09	4.08	2.45	0.99	146
1123	30.35	8.69	6.04	4.22	2.34	1.4	329
1124	29.9	10.2	4.17	4.55	2.38	1.05	388
1125	33.49	6.74	4.92	3.82	2.56	0.92	286
1126	33.3	7.84	3.57	4.03	2.49	1	247
1127	35.08	6.23	3.11	3.99	2.65	0.8	395
1128	32.23	9.1	2.77	4.45	2.44	0.8	285
1129	34.17	6.95	3.48	4.07	2.58	0.82	274
1130	31.36	9.74	3.17	4.7	2.39	0.78	394
1131	34.05	6.84	3.76	3.87	2.57	0.81	400
1132	33.95	6.85	3.85	3.98	2.50	0.88	290
1133	31.79	8.86	3.7	4.41	2.40	0.86	363
1134	32.27	8.69	4.04	4.02	2.47	1.14	261
1135	32.1	8.24	4.13	4.26	2.36	1.07	412
1136	31.58	8.58	4.55	4.11	2.38	1.15	266
1137	31.29	9.49	4.21	3.92	2.27	1.28	168
1138	31.52	9.19	4.22	3.9	2.30	1.22	401
1139	31.92	8.11	4.86	3.97	2.41	1.23	490
1140	34.3	6.58	3.68	3.87	2.65	0.89	281
1141	34.45	6.96	2.64	4.23	2.69	0.73	253
1142	33.63	7.49	3.11	4.15	2.61	0.77	298
1143	33.74	7.61	3.12	3.99	2.61	0.74	398
1144	31.64	8.93	3.81	4.28	2.43	0.75	258
1145	33.67	7.55	3.27	4.08	2.58	0.76	303
1146	34.1	7.53	2.88	3.95	2.63	0.75	340
1147	34.98	6.58	2.65	4.08	2.60	0.65	416
1148	32.37	9.08	2.33	4.69	2.47	0.53	248
1149	29.9	11.43	3.3	4.47	2.31	0.68	249
1150	32.54	9.46	2.43	4.15	2.47	0.56	369
1151	32.41	8.94	2.84	4.4	2.47	0.62	335
1152	32.74	8.68	3.16	4	2.47	0.81	320
1153	32.72	8.83	2.82	4.1	2.49	0.77	227
1154	31.5	9.6	4.21	3.83	2.45	0.99	440
1155	32.52	8.63	3.64	4	2.52	0.86	374
1156	32.87	8.28	3.34	4.13	2.49	0.79	354
1157	33.06	8.1	3.65	3.85	2.49	0.89	285
1158	30.85	9.01	4.74	4.51	2.40	1.04	413
1159	32.46	8.07	4.3	3.93	2.53	0.8	491
1160	33.17	7.09	4.91	3.8	2.60	0.83	298
1161	29.89	10.66	3.77	4.6	2.47	0.8	263
1162	29.93	10.53	3.99	4.58	2.48	0.79	345
1163	31.44	9.75	3.4	4.2	2.49	0.79	360
1164	32	7.37	6.08	3.9	2.36	1.4	257
1165	34.13	6.24	4.97	3.41	2.44	1.12	334
1166	35.1	4.94	5.55	3.42	2.58	1.01	401
1167	34.24	4.52	7.48	3.31	2.56	1.27	360
1168	33.12	8.2	3.88	3.59	2.48	0.96	224
1169	34.65	6.61	3.93	3.51	2.62	0.84	300
1170	35.76	5.21	4.17	3.46	2.74	0.73	417
1171	34.87	6.23	4.29	3.53	2.71	0.85	371
1172	34.43	6.08	5.34	3.35	2.65	1.05	221
1173	33.74	6.96	4.68	3.7	2.62	0.98	420
1174	35.31	5	5.26	3.44	2.76	1.04	460
1175	34.83	5.35	5.19	3.54	2.74	1.14	460
1176	34.93	5.08	5.36	3.65	2.74	0.95	392
1177	34.13	5.96	5.56	3.51	2.67	1.04	382
1178	33.62	6.26	5.72	3.71	2.63	1	286
1179	34.7	4.67	6.48	3.47	2.70	0.96	310
1180	31.46	9.04	3.95	4.31	2.47	0.75	480
1181	34.47	5.65	4.82	3.76	2.61	0.84	393
1182	31.11	9.33	3.96	4.38	2.44	0.78	139
1183	30.19	10.15	3.92	4.4	2.40	0.78	367
1184	33.07	7.06	4.9	3.88	2.57	0.89	498
1185	30.58	9.76	3.9	4.5	2.49	0.9	172
1186	33.81	6.84	4.27	3.83	2.60	1.11	263
1187	31.99	7.48	5.73	3.83	2.47	1.36	371
1188	30.73	7.65	7.28	3.81	2.36	1.56	389
1189	31.87	7.07	6.26	3.97	2.41	1.37	318
1190	32.22	8.3	4.16	4.1	2.45	0.99	351
1191	30.4	7.67	8.41	3.7	2.34	1.64	371
1192	30.52	8.87	6.4	3.8	2.34	1.31	318
1193	29.5	11.44	3.76	4.58	2.23	0.74	197
1194	29.49	11.4	3.81	4.5	2.25	0.77	374
1195	30.05	10.53	4.06	4.46	2.40	0.93	361
1196	33	7.63	4.04	4.13	2.60	0.9	410
1197	30.91	9.46	4.19	4.35	2.41	0.88	376
1198	31.25	9.23	4.42	4.15	2.43	0.93	341
1199	30.06	10	5.13	4.35	2.34	0.94	319
1200	32.73	7.83	3.59	4.22	2.54	0.77	437
1201	32.03	8.4	3.94	4.26	2.45	0.74	329
1202	31.55	8.75	4.18	4.27	2.43	0.78	405
1203	31	9.22	4.22	4.38	2.41	0.81	357
1204	34.6	6.5	4.11	3.74	2.67	0.71	219
1205	33.31	7.18	4.73	3.87	2.60	0.85	251
1206	30.33	9.69	4.55	4.49	2.40	0.95	294
1207	31.14	8.35	6.3	3.82	2.44	1.31	328
1208	31.98	7.73	5.28	3.97	2.57	1.17	252
1209	28.36	10.86	6.24	4.32	2.27	1.24	292
1210	29.06	11.12	4.32	4.76	2.32	0.9	430
1211	31.74	8.52	4.35	4.53	2.47	0.8	425
1212	29.5	9.19	6.32	4.1	2.25	1.94	201
1213	32.72	6.89	6.21	3.82	2.54	1.15	296
1214	35.52	4.45	5.54	3.63	2.76	1.1	418
1215	36.3	4.17	4.7	3.53	2.81	0.92	367
1216	37.19	3.07	4.98	3.32	2.97	0.87	274
1217	33.72	6.95	4.16	4.03	2.61	0.81	424
1218	33.94	6.59	4.58	3.99	2.56	1.07	485
1219	34.4	6.09	4.78	3.8	2.60	0.92	316
1220	33.51	6.8	4.68	4.13	2.60	0.92	384
1221	35.55	4.95	4.31	3.83	2.66	0.82	320
1222	34.1	6.81	3.57	4.16	2.63	0.63	280
1223	32.97	7.85	4.08	4.14	2.53	0.59	312
1224	33.4	7.2	4.18	4.11	2.53	0.7	203
1225	36.58	4.65	3.51	3.82	2.78	0.66	290
1226	34.73	5.96	4.16	3.97	2.74	0.73	401
1227	34.19	6.26	4.04	4.15	2.72	0.88	398
1228	34.87	5.03	5.09	3.79	2.71	1.2	292
1229	33.93	5.61	5.71	3.72	2.57	1.36	196
1230	34.46	5.43	4.84	3.89	2.66	1.08	378
1231	34.26	5.42	5.07	4	2.62	0.97	407
1232	35.06	4.98	5.01	3.59	2.71	1.04	114
1233	32.6	7.33	4.74	4.12	2.56	1.31	422
1234	31.12	7.5	6.5	4.14	2.50	1.7	422
1235	29.56	11.11	4.42	4.03	2.31	1.14	422
1236	33.52	8.16	2.62	4.09	2.58	0.66	156
1237	31.66	10.05	2.58	4.31	2.52	0.66	192
1238	30.9	10.34	2.89	4.48	2.45	0.79	210
1239	32.69	7.43	4.4	4.16	2.57	1.12	262
1240	32.53	7.66	4.48	4.08	2.57	1.15	295
1241	35	5.36	4.86	3.61	2.74	0.99	295
1242	31.95	6.99	6.25	4.16	2.48	1.43	295
1243	32.33	7.3	5.24	4.16	2.60	1.24	295
1244	34.1	4.94	6.62	3.52	2.69	1.27	295
1245	34.24	5.14	6.03	3.7	2.67	1.17	296
1246	34.42	5.55	5.06	3.91	2.69	1.03	321
1247	34.17	5.85	5.13	3.69	2.70	0.97	407
1248	34.74	5.43	4.53	4.06	2.72	0.92	449
1249	32.53	7.27	4.63	4.6	2.61	1.04	515
1250	33.88	6.2	4.65	4.17	2.67	1.08	400
1251	34.47	5.91	4.36	3.76	2.71	1.21	192
1252	32.93	6.76	5.13	4.14	2.62	1.31	431
1253	34.99	5.51	4.34	3.78	2.76	1.01	493
1254	34.59	5.52	4.58	3.94	2.66	0.9	225
1255	34.67	5.7	4.53	3.75	2.62	0.94	400
1256	35.02	5	5.16	3.68	2.65	0.99	420
1257	34.39	5.85	4.35	4.01	2.62	0.83	350
1258	35.12	4.94	4.89	3.85	2.66	0.93	345
1259	33.52	6.08	5.57	3.96	2.58	1.18	275
1260	35.04	4.93	5.2	3.78	2.65	0.88	378
1261	32	7.93	4.82	4.25	2.48	1.11	444
1262	33.22	6.65	4.82	4.25	2.49	1.06	363
1263	30.46	8.9	5.24	4.53	2.41	1.36	383
1264	28.36	10.35	5.2	5.41	2.27	1.05	434
1265	31.53	8.53	4.91	4.31	2.54	0.99	469
1266	33.3	7.22	4.29	4.04	2.60	0.86	393
1267	32	7.83	4.95	4.28	2.49	0.98	416
1268	32.75	7.39	4.73	4.19	2.56	0.93	518
1269	32.85	7.6	4	4.26	2.60	0.77	344
1270	34.29	6.31	4.6	3.81	2.62	0.85	299
1271	32.25	7.77	4.75	4.31	2.50	1.05	349
1272	27.62	11.6	6.66	4.22	2.34	1.62	446
1273	28.69	11.61	3.73	4.62	2.22	1.33	280
1274	31.11	8.86	4.37	4.29	2.41	1.55	339
1275	32.32	7.89	4.44	4.04	2.54	1.32	167
1276	30.77	8.94	5.29	4.23	2.47	1.39	219
1277	30.35	10.98	3.14	4.54	2.29	0.64	321
1278	33.62	6.15	4.77	4.15	2.69	1.16	360
1279	34.02	6.44	4.22	3.95	2.75	1.02	294
1280	34.55	5.69	4.8	3.72	2.81	1.08	366
1281	32.93	6.65	5.12	4.12	2.67	1.33	434
1282	33.15	6.53	5.57	3.86	2.69	1.25	417
1283	32.39	7.1	4.91	4.29	2.60	1.49	369
1284	33.65	6.15	4.9	4.1	2.70	1.15	452
1285	29.56	9.65	5.47	4.43	2.41	1.49	426
1286	28.43	10.99	4.6	4.76	2.35	1.45	337
1287	31.48	8.52	4.53	4.18	2.48	1.22	213
1288	30.97	9.62	3.52	4.5	2.40	0.94	300
1289	30.96	9.21	4.31	4.36	2.41	1.09	327
1290	31.13	9.07	4.18	4.29	2.44	1.1	332
1291	32.59	6.63	6.06	3.74	2.58	1.41	276
1292	32.51	7.66	4.44	4.02	2.53	1.25	363
1293	29.77	8.72	6.4	4.01	2.35	2.08	271
1294	31.36	8.85	4.43	4.22	2.39	1.15	234
1295	30.45	9.1	4.4	4.65	2.49	1.39	279
1296	29.69	10.29	3.84	4.64	2.34	1.32	369
1297	30.02	11.07	3.45	4.57	2.30	0.75	235
1298	31.32	8.43	5.39	3.98	2.50	1.4	292
1299	29.96	11.25	3	4.7	2.31	0.66	274
1300	30.23	10.6	3.72	4.44	2.39	0.94	417
1301	31.11	10.12	3.45	4.23	2.40	0.85	358
1302	33.34	7.35	3.7	3.99	2.61	1.06	145
1303	30.04	11.05	3.54	4.54	2.30	0.74	393
1304	31.92	8.42	3.84	4.47	2.52	1.29	327
1305	31.17	9.08	3.71	4.62	2.48	1.26	328
1306	29.94	8.21	6.47	4.23	2.30	2.04	110
1307	32.6	8.01	3.25	4.55	2.45	1.09	324
1308	29.37	10.38	3.9	5.13	2.36	1.24	305
1309	30.92	8.66	4.2	4.71	2.40	1.5	244
1310	27.78	12.03	3.71	5.44	2.25	1.23	296
1311	28.15	12.78	1.85	5.78	2.26	0.65	345
1312	31.69	9.44	2.72	4.76	2.43	0.8	192
1313	31.83	9.16	3.07	4.73	2.48	0.75	209
1314	33.74	7.75	2.49	4.43	2.54	0.73	405
1315	29.48	9.6	5.41	4.66	2.39	1.41	380
1316	32.44	6.92	5.1	4.23	2.48	1.32	191
1317	31.99	8.89	3.04	4.69	2.49	0.91	262
1318	32.62	7.09	4.76	4.18	2.48	1.14	209
1319	32.12	8.3	3.75	4.52	2.44	0.99	230
1320	31.32	9.67	3.07	4.65	2.40	0.82	287
1321	31.73	9.11	3.13	4.73	2.40	0.83	243
1322	33.63	6.81	4.55	3.69	2.47	1.14	224
1323	32.44	7.89	5.47	3.54	2.50	1.18	307
1324	31.91	6.82	7.08	3.48	2.40	1.86	288
1325	32.36	7.96	5.28	3.51	2.52	1.16	201
1326	28.53	11.43	5.9	3.9	2.30	1.13	175
1327	32.57	7.98	4.66	3.9	2.45	0.88	209
1328	30.56	10.63	5.16	3.46	2.43	0.96	260
1329	31.76	8.92	5.04	3.54	2.41	1.12	199
1330	30.8	9.38	4.57	4.41	2.38	1.3	187
1331	27.69	10.64	6.39	4.72	2.18	2.11	373
1332	30.39	9.95	5.66	3.53	2.36	1.08	255
1333	30.53	9.69	5.9	3.51	2.38	1.34	280
1334	30.89	8.91	6.05	3.61	2.41	1.21	150
1335	32.03	9.21	5.08	3.1	2.44	1.2	183
1336	29.44	10.73	7.15	3.12	2.32	1.63	233
1337	33.09	8.34	2.54	4.52	2.49	0.69	350
1338	31.92	8.05	5.49	3.87	2.48	1.1	282
1339	30.65	8.98	6.76	3.53	2.41	1.22	322
1340	30.83	9.97	4.5	3.77	2.43	0.99	317
1341	32.89	8.59	3.76	3.64	2.56	0.9	176
1342	31.22	9.21	4.37	4.22	2.44	1.01	278
1343	30.96	9.7	4.39	4.15	2.43	1.06	310
1344	30.63	10.11	4.51	4.03	2.41	1.2	357
1345	33.29	7.41	4.21	3.63	2.56	1.04	204
1346	33.57	7	4.55	3.65	2.54	1	302
1347	31.7	8.75	5.47	3.34	2.45	1.22	268
1348	33.4	6.86	5.04	3.62	2.57	1.36	257
1349	32.32	8.43	4.48	3.66	2.49	1.08	226
1350	30.97	8.82	5.95	3.64	2.36	1.38	254
1351	33.25	6.42	6.32	3.39	2.56	1.56	344
1352	32.21	8.36	4.57	3.69	2.47	1.16	273
1353	32.84	6.68	6.07	3.56	2.54	1.52	312
1354	28.65	12.1	6.18	3.11	2.26	1.02	306
1355	32.16	7.89	5.77	3.41	2.48	1.49	298
1356	32.54	7.51	6.05	3.4	2.56	1.5	211
1357	32.94	6.69	5.81	3.66	2.50	1.49	223
1358	33.91	7.03	3.75	4.06	2.56	1.07	281
1359	32.38	8.54	3.54	4.14	2.41	1.07	303
1360	32.04	9.35	2.84	4.52	2.40	0.81	239
1361	32.06	8.75	4.01	4.22	2.43	1.14	263
1362	32.12	9.46	2.69	4.41	2.35	0.66	282
1363	29.62	11.57	3.57	4.32	2.26	0.77	393
1364	30.94	10.27	2.91	4.64	2.27	0.64	213
1365	29.71	10.61	4.02	4.48	2.26	0.97	250
1366	27.61	12.87	3.45	5.06	2.16	0.81	327
1367	30.55	10.79	3.11	4.55	2.31	0.67	308
1368	30.73	10.45	3.3	4.48	2.29	0.71	238
1369	32.95	5.79	7.15	3.44	2.50	1.67	242
1370	32.14	6.35	7.23	3.65	2.45	1.72	238
1371	31.15	7.22	8.01	3.51	2.44	1.72	203
1372	31.6	6.87	8	3.24	2.38	1.9	248
1373	31.35	7.46	7.3	3.56	2.44	1.63	329
1374	29.26	10.41	5.64	4.11	2.31	1.2	264
1375	31	8.54	6.63	3.47	2.44	1.48	160
1376	31.17	8.02	6.82	3.47	2.43	1.63	272
1377	32.9	5.75	7.17	3.48	2.52	1.68	287
1378	31.28	8.68	4.77	4.46	2.38	1.14	290
1379	31.26	8.74	4.41	4.45	2.39	1.27	291
1380	28.62	11.27	4.77	4.7	2.23	1.2	270
1381	30.38	9.92	4.4	4.53	2.29	1	312
1382	29.66	10.24	4.65	4.71	2.25	1.1	309
1383	33.62	6	6.13	3.35	2.58	1.58	191
1384	30.94	8.41	6.47	3.37	2.43	1.53	149
1385	31.44	7.31	7.5	3.44	2.47	2	211
1386	31.87	7.53	5.9	3.61	2.49	1.67	297
1387	31.41	8.18	6.61	3.58	2.43	1.6	346
1388	31.92	7.85	5.8	3.84	2.48	1.35	342
1389	30.82	8.98	5.13	4.32	2.38	1.19	253
1390	31.51	8.05	5.45	4.24	2.45	1.3	212
1391	30.9	8.65	5.58	4.09	2.43	1.29	82
1392	30.19	9.22	5.47	4.42	2.39	1.28	255
1393	31.51	8.48	4.89	4.35	2.41	1.13	256
1394	34.13	7.22	2.66	4.21	2.57	0.68	440
1395	32.79	8.38	2.9	4.44	2.49	0.77	391
1396	29.32	10.83	4.33	4.46	2.27	1.05	157
1397	29.9	11.75	2.16	4.74	2.29	0.54	367
1398	32.56	8.92	2.33	4.59	2.57	0.58	418
1399	31.89	8.22	4.02	4.34	2.44	1.15	274
1400	30.76	8.97	4.33	4.52	2.41	1.2	334
1401	31.99	8.17	3.83	4.35	2.45	1.2	309
1402	33.18	6.93	4.09	4.09	2.53	1.47	268
1403	31.97	7.94	3.81	4.52	2.47	1.26	296
1404	32.56	7.6	4.22	4.08	2.49	1.37	293
1405	33.09	6.69	4.63	4.07	2.53	1.45	206
1406	34.45	5.56	4.53	3.67	2.65	1.39	186
1407	33.15	6.87	4.45	3.95	2.56	1.17	155
1408	34.23	6.13	4.61	3.81	2.60	1.12	395
1409	35.79	4.99	4.05	3.75	2.76	1	485
1410	36.79	4.04	3.93	3.53	2.79	1.07	392
1411	35.33	5.36	4.04	3.68	2.70	1.02	348
1412	35.13	5.56	4.15	3.55	2.72	1.15	264
1413	35.16	5.83	3.59	3.86	2.67	0.99	485
1414	34.32	6.71	3.15	4.06	2.61	0.84	446
1415	33.13	8.13	3.04	4.27	2.50	0.77	248
1416	34.05	6.97	3.1	4.32	2.58	0.81	302
1417	34.9	6.34	3.17	4.03	2.63	0.8	486
1418	29.21	9.51	6.56	4.24	2.20	1.62	383
1419	32.44	6.43	6.33	3.77	2.36	1.69	337
1420	33.31	6.57	5.03	3.87	2.41	1.11	161
1421	33.31	5.99	6.42	3.47	2.45	1.53	265
1422	31.26	8.36	5.85	3.73	2.35	1.46	445
1423	33.2	8.13	2.99	4.27	2.56	0.73	294
1424	32.25	9.22	2.13	4.65	2.52	0.56	314
1425	33.39	8.3	1.98	4.55	2.62	0.52	386
1426	33.33	8.16	2.4	4.44	2.62	0.61	483
1427	34.19	7.5	2.14	4.36	2.65	0.57	414
1428	33.67	7.77	2.55	4.4	2.56	0.62	426
1429	34.2	7.16	2.47	4.36	2.63	0.65	438
1430	34.74	6.84	2.46	4.27	2.65	0.58	478
1431	33.86	7.55	2.69	4.28	2.57	0.66	339
1432	32.8	7.36	4.62	4.23	2.50	0.85	384
1433	34.53	6.11	3.92	4.08	2.63	0.72	500
1434	34.42	6.16	4.11	4.12	2.65	0.76	440
1435	34.03	6.37	3.86	4.15	2.58	0.95	392
1436	35.63	5.11	3.95	3.82	2.67	0.87	354
1437	35.53	4.71	4.55	3.74	2.66	1.03	360
1438	35.62	4.51	4.62	3.71	2.62	1.14	458
1439	34.82	4.85	5.92	3.45	2.60	1.07	205
1440	32.3	6.5	6.63	3.78	2.38	1.82	261
1441	32.33	6.74	6.54	3.52	2.38	1.67	310
1442	31.82	8.11	5.76	3.57	2.44	1.29	207
1443	33.39	6.97	4.26	4.01	2.53	1.06	335
1444	34.55	6.27	3.71	3.9	2.62	0.97	337
1445	34.44	6.16	3.67	4.13	2.63	0.99	300
1446	34.36	6.12	4.14	3.9	2.60	1.07	385
1447	27.4	12.38	3.47	5.52	2.23	0.89	289
1448	30.29	9.85	3.48	5.02	2.44	0.92	514
1449	32.08	8.15	4.49	4.39	2.57	1.05	390
1450	32.7	7.1	5.26	4.22	2.58	1.16	292
1451	32.63	7.26	5.18	4.06	2.53	1.27	330
1452	32.23	7.6	5.08	4.19	2.49	1.23	414
1453	35.06	5.05	5.42	3.54	2.67	1.12	339
1454	34.87	4.85	5.64	3.67	2.61	1.22	178
1455	33.41	7.03	5.12	3.4	2.52	1.18	290
1456	31.76	8.42	6.03	3.34	2.35	1.24	246
1457	32.4	8.4	4.36	3.87	2.34	0.8	168
1458	33.33	6.85	4.77	3.71	2.50	1.09	230
1459	31.62	8.99	5.38	3.26	2.41	1.19	313
1460	31.56	6.48	6.69	4.38	2.49	1.25	200
1461	34.39	5.48	5.27	3.6	2.67	0.99	362
1462	33.19	6.37	5.45	3.79	2.66	1.04	370
1463	34.57	5.44	4.67	3.73	2.61	1.05	306
1464	33.82	6.81	4.07	3.86	2.61	0.85	380
1465	33.67	6.55	4.68	3.86	2.58	0.94	458
1466	32.19	8.02	5.05	4	2.43	0.91	450
1467	34.04	5.81	5.45	3.71	2.53	1.2	219
1468	33.11	6.99	5.19	3.79	2.48	1.11	221
1469	32.46	7.1	6.02	3.53	2.45	1.41	330
1470	32.33	8.59	3.9	4.12	2.50	0.86	437
1471	30.85	10.07	4	4.22	2.34	0.87	393
1472	30.29	10.27	4.34	4.41	2.31	0.98	171
1473	32.5	7.63	4.97	3.81	2.53	1.01	330
1474	31.14	9.56	4.07	4.16	2.43	0.84	405
1475	31.29	9.33	5.66	3.23	2.38	1.18	129
1476	31.38	9.11	5.72	3.55	2.36	1.06	245
1477	31.5	8.82	5.63	3.52	2.38	1.22	222
1478	32.33	9.2	4.41	3.47	2.38	0.82	307
1479	30.91	9.68	5.5	3.65	2.31	1.18	184
1480	32.85	7.96	5.22	3.51	2.40	0.98	258
1481	29.31	11.78	4.65	3.82	2.13	0.95	385
1482	29	12.21	4.59	3.78	2.13	0.76	291
